id,part,file,fps
GP213121,joy,/data/sit_21_hu_video_mix_home/processed/hrv/GP213121_part_2_joy.mkv,30.3
GP213121,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/GP213121_part_2_disgust.mkv,30.3
GU463613,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/GU463613_part_2_neutral.mkv,30.3
GU463613,joy,/data/sit_21_hu_video_mix_home/processed/hrv/GU463613_part_2_joy.mkv,30.3
GU463613,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/GU463613_part_2_disgust.mkv,30.3
HB613993,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/HB613993_part_2_neutral.mkv,30.3
HB613993,joy,/data/sit_21_hu_video_mix_home/processed/hrv/HB613993_part_2_joy.mkv,30.3
HB613993,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/HB613993_part_2_disgust.mkv,30.3
HD742762,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/HD742762_part_2_neutral.mkv,30.3
HD742762,joy,/data/sit_21_hu_video_mix_home/processed/hrv/HD742762_part_2_joy.mkv,30.3
HD742762,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/HD742762_part_2_disgust.mkv,30.3
HS221444,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/HS221444_part_2_neutral.mkv,30.3
HS221444,joy,/data/sit_21_hu_video_mix_home/processed/hrv/HS221444_part_2_joy.mkv,30.3
HS221444,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/HS221444_part_2_disgust.mkv,30.3
HY512582,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/HY512582_part_2_neutral.mkv,30.3
HY512582,joy,/data/sit_21_hu_video_mix_home/processed/hrv/HY512582_part_2_joy.mkv,30.3
HY512582,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/HY512582_part_2_disgust.mkv,30.3
KC598959,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/KC598959_part_2_neutral.mkv,30.3
KC598959,joy,/data/sit_21_hu_video_mix_home/processed/hrv/KC598959_part_2_joy.mkv,30.3
KC598959,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/KC598959_part_2_disgust.mkv,30.3
KD385355,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/KD385355_part_2_neutral.mkv,28.53573213393303
KD385355,joy,/data/sit_21_hu_video_mix_home/processed/hrv/KD385355_part_2_joy.mkv,27.852998065764023
KD385355,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/KD385355_part_2_disgust.mkv,28.07017543859649
LP416339,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/LP416339_part_2_neutral.mkv,28.510744627686154
LP416339,joy,/data/sit_21_hu_video_mix_home/processed/hrv/LP416339_part_2_joy.mkv,27.53062540296583
LP416339,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/LP416339_part_2_disgust.mkv,28.130671506352087
